	columns
0	Average_net_pricestudents_awarded_grant_or_scholarship_aid_201718
1	Average_net_price__income_030_000_students_awarded_Title_IV_federal_financial_aid_201718
2	Average_net_price__income_30_00148_000_students_awarded_Title_IV_federal_financial_aid_201718
3	Average_net_price__income_48_00175_000_students_awarded_Title_IV_federal_financial_aid_201718
4	Average_net_price__income_75_001110_000_students_awarded_Title_IV_federal_financial_aid_201718
5	Average_net_price__income_over_110_000_students_awarded_Title_IV_federal_financial_aid_201718
6	Percent_of_fulltime_firsttime_undergraduates_awarded_any_financial_aid
7	Average_amount_of_federal_state_local_or_institutional_grant_aid_awarded
8	Percent_of_fulltime_firsttime_undergraduates_awarded_student_loans
9	Average_amount_of_student_loans_awarded_to_fulltime_firsttime_undergraduates
10	Percent_of_fulltime_firsttime_undergraduates_awarded_federal_state_local_or_institutional_grant_aid
11	State_abbreviation
12	Bureau_of_Economic_Analysis__BEA__regions
13	Sector_of_institution
14	Carnegie_Classification
15	Land_Grant_Institution
16	Total_price_for_instate_students_living_on_campus_201819
17	Total_price_for_outofstate_students_living_on_campus_201819
18	Total_price_for_instate_students_living_off_campus__not_with_family__201819
19	Total_price_for_outofstate_students_living_off_campus__not_with_family__201819
20	Total_price_for_instate_students_living_off_campus__with_family__201819
21	Total_price_for_outofstate_students_living_off_campus__with_family__201819
22	Percent_admitted__total
23	Percent_admitted__men
24	Percent_admitted__women
25	Admissions_yield__total
26	Admissions_yield__men
27	Admissions_yield__women
28	Admissions_yield__full_time_men
29	Admissions_yield__full_time_women
30	Admissions_yield__full_time
31	Undergraduate_enrollment
32	Graduate_enrollment
33	Fulltime_graduate_enrollment
34	Fulltime_undergraduate_enrollment
35	Percent_of_undergraduate_enrollment_that_are_American_Indian_or_Alaska_Native
36	Percent_of_undergraduate_enrollment_that_are_AsianNative_HawaiianPacific_Islander
37	Percent_of_undergraduate_enrollment_that_are_Asian
38	Percent_of_undergraduate_enrollment_that_are_Native_Hawaiian_or_Other_Pacific_Islander
39	Percent_of_undergraduate_enrollment_that_are_Black_or_African_American
40	Percent_of_undergraduate_enrollment_that_are_HispanicLatino
41	Percent_of_undergraduate_enrollment_that_are_White
42	Percent_of_undergraduate_enrollment_that_are_two_or_more_races
43	Percent_of_undergraduate_enrollment_that_are_Raceethnicity_unknown
44	Percent_of_undergraduate_enrollment_that_are_Nonresident_Alien
45	Percent_of_undergraduate_enrollment_that_are_women
46	Percent_of_graduate_enrollment_that_are_American_Indian_or_Alaska_Native
47	Percent_of_graduate_enrollment_that_are_AsianNative_HawaiianPacific_Islander
48	Percent_of_graduate_enrollment_that_are_Asian
49	Percent_of_graduate_enrollment_that_are_Native_Hawaiian_or_Other_Pacific_Islander
50	Percent_of_graduate_enrollment_that_are_Black_or_African_American
51	Percent_of_graduate_enrollment_that_are_HispanicLatino
52	Percent_of_graduate_enrollment_that_are_White
53	Percent_of_graduate_enrollment_that_are_two_or_more_races
54	Percent_of_graduate_enrollment_that_are_Raceethnicity_unknown
55	Percent_of_graduate_enrollment_that_are_Nonresident_Alien
56	Percent_of_graduate_enrollment_that_are_women
57	Number_of_firsttime_undergraduates__instate
58	Percent_of_firsttime_undergraduates__instate
59	Number_of_firsttime_undergraduates__outofstate
60	Percent_of_firsttime_undergraduates__outofstate
61	Number_of_firsttime_undergraduates__foreign_countries
62	Percent_of_firsttime_undergraduates__foreign_countries
63	Total_enrollment
64	Fulltime_enrollment
65	Number_of_students_receiving_a_Doctors_degree
66	Number_of_students_receiving_a_Masters_degree
67	Number_of_students_receiving_a_Bachelors_degree
68	Number_of_students_receiving_an_Associates_degree
69	Number_of_students_receiving_a_Postbaccalaureate_or_Postmasters_certificate
70	Number_of_students_receiving_a_certificate_of_1_but_less_than_4years
71	Number_of_students_receiving_a_certificate_of_less_than_1year
72	Graduation_rate_Nonresident_alien
73	Graduation_rate_two_or_more_races
74	Graduation_rate_White_nonHispanic
75	Graduation_rate_Raceethnicity_unknown
76	Graduation_rate_Hispanic
77	Graduation_rate_Black_nonHispanic
78	Graduation_rate_Native_Hawaiian_or_Other_Pacific_Islander
79	Graduation_rate_Asian
80	Graduation_rate_AsianNative_HawaiianOther_Pacific_Islander
81	Graduation_rate_American_Indian_or_Alaska_Native
82	Graduation_rate_women
83	Graduation_rate_men
84	Graduation_rate_total_cohort
85	Pell_Grant_recipients__Overall_graduation_rate_within_150_percent_of_normal_time
86	Did_not_receive_Pell_Grants_or_Subsidized_Stafford_Loans__Overall_graduation_rate_within_150_percent_of_normal_time
87	Core_revenues_total_dollars__GASB_
88	Tuition_and_fees_as_a_percent_of_core_revenues__GASB_
89	State_appropriations_as_percent_of_core_revenues__GASB_
90	Local_appropriations_as_a_percent_of_core_revenues__GASB_
91	Government_grants_and_contracts_as_a_percent_of_core_revenues__GASB_
92	Private_gifts_grants_and_contracts_as_a_percent_of_core_revenues__GASB_
93	Investment_return_as_a_percent_of_core_revenues__GASB_
94	Other_revenues_as_a_percent_of_core_revenues__GASB_
95	Revenues_from_tuition_and_fees_per_FTE__GASB_
96	Revenues_from_state_appropriations_per_FTE__GASB_
97	Revenues_from_local_appropriations_per_FTE__GASB_
98	Revenues_from_government_grants_and_contracts_per_FTE__GASB_
99	Revenues_from_private_gifts_grants_and_contracts_per_FTE__GASB_
100	Revenues_from_investment_return_per_FTE__GASB_
